cluster_id	0_3001.tsv	0_3002.tsv	0_3003.tsv	0_3004.tsv	0_3005.tsv	0_3006.tsv	0_3007.tsv	0_3008.tsv	0_3009.tsv	0_3010.tsv	0_3012.tsv	0_3013.tsv	0_3014.tsv	0_3015.tsv	0_3016.tsv	0_3017.tsv	0_3018.tsv	0_3019.tsv	0_3020.tsv	0_3021.tsv	0_3022.tsv	0_3023.tsv	0_3024.tsv	0_3025.tsv	1_3001.tsv	1_3002.tsv	1_3003.tsv	1_3004.tsv	1_3005.tsv	1_3006.tsv	1_3007.tsv	1_3008.tsv	1_3009.tsv	1_3010.tsv	1_3012.tsv	1_3013.tsv	1_3014.tsv	1_3015.tsv	1_3016.tsv	1_3017.tsv	1_3018.tsv	1_3019.tsv	1_3020.tsv	1_3021.tsv	1_3022.tsv	1_3023.tsv	1_3024.tsv	1_3025.tsv
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014835276	0.0	0.0	0.0	0.0	3.479612e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009847597	0.0	0.0	0.0	0.0	3.193779e-08	0.0	0.0	0.0	0.0
2	0.0	7.730983e-06	0.0024175218	0.0	0.0031090656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6838063e-06	0.0035693587	0.0	0.0	0.0	0.0	7.754994e-07	0.0	0.0	0.0	0.0	1.8469531e-07	2.7898285e-08	0.0	0.001180945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.158416e-07	0.0019929286	0.0	0.0	0.0	0.0	1.9673686e-05	0.0009011552	3.1310367e-06	0.0
3	0.0	0.00031876465	0.000374683	0.0	0.0009027737	2.4138884e-09	0.0021622784	0.00032067831	0.0011319796	0.0	1.5417115e-09	0.00036099902	2.4479058e-07	0.0	0.01803323	4.685822e-06	0.002584299	3.9450777e-05	2.580599e-07	0.00016177313	1.15630355e-05	1.7543537e-10	6.954694e-05	1.4387277e-06	3.1955304e-05	1.8489094e-05	0.00495877	0.0	0.0039969822	2.1200124e-09	0.0017219421	0.00077681674	0.0034469243	0.0010491316	1.0832161e-09	0.0011764417	1.5303087e-10	3.0865905e-09	0.00023928877	7.255285e-06	0.0043102447	0.00054427586	0.004785923	0.000442659	0.025984172	0.0006382542	0.00011221641	0.00049857754
4	0.0	3.4886355e-08	4.633409e-07	0.0	1.9052649e-07	0.003662056	0.0036719288	0.0	5.1466163e-06	0.0	0.0	0.0	0.0	1.3658954e-08	3.7859684e-07	1.418703e-08	0.004179815	0.0022045763	1.776265e-05	0.0	0.0	0.0	0.0	1.6619897e-06	0.0	0.0	1.205975e-06	0.0	1.0217911e-06	0.0025715916	0.0030597919	0.0	5.3949643e-05	3.6764873e-09	9.688894e-07	0.0	0.0	0.0	0.0	6.4272876e-07	0.0031869798	0.0020234447	2.6560483e-07	2.1442684e-08	3.6752104e-07	0.0	0.0	4.085741e-06
5	0.0028084405	1.6488336e-07	1.2535075e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3852965e-07	0.0	0.0	0.0	0.0033339346	0.0	6.904058e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3958125e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1492436e-08	0.0	1.2351792e-07	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00039124038	1.3420173e-07	0.0	0.0	0.0	9.667493e-08	0.0	0.00015314536	0.0011343838	6.6606735e-05	0.0	3.522651e-07	0.0	0.0	0.0	0.0	7.7612516e-05	1.5686322e-08	0.0016309328	0.0	0.0	0.0	0.0	0.0	0.007565321	0.0013538088	6.249003e-05	0.0	0.0	0.0	0.0	4.1456984e-05	0.007725241	4.1621002e-05	0.0019449076	5.6344923e-08	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027759634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.647575e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018047171
8	0.0	1.1269815e-08	1.7122176e-09	0.0	8.9302074e-07	0.0	1.1166825e-06	2.5347683e-07	1.8788222e-07	0.0	0.0	3.089818e-08	0.0	0.0	1.2047184e-05	0.0	3.7242867e-07	0.0	0.0	7.579646e-08	0.0	0.0	0.0	1.644786e-06	2.0198432e-09	0.0	3.443286e-07	0.0	4.493464e-06	0.0	9.268682e-07	8.9961065e-07	1.2847241e-06	4.1023947e-07	0.0	5.8981676e-08	0.0	0.0	8.700311e-08	0.0	6.5489377e-07	2.951889e-07	2.8842728e-06	6.4830935e-08	1.552784e-05	8.995914e-08	0.0	0.0019176826
9	6.5904385e-07	5.9353138e-06	0.0033897266	9.145189e-06	3.6152656e-07	0.0019174411	0.005402955	5.9178106e-05	4.7698677e-07	1.7523009e-05	7.780233e-06	3.7415452e-07	0.000298277	0.0047831745	1.7238432e-05	0.0129388	0.00036295847	0.00062125805	8.0089626e-07	3.3426448e-05	0.001235296	1.3753883e-07	7.5182686e-07	0.0	7.6085325e-07	3.2627472e-07	7.283867e-06	7.927906e-06	1.6741049e-06	0.007836033	0.0043125367	1.0281369e-05	1.3658156e-06	0.002135917	1.8104016e-07	2.5367724e-08	0.0067953677	0.006230236	0.000639281	0.002136907	0.011485254	0.0023236468	2.992993e-06	0.00061014463	0.007587131	0.0017312964	2.6808684e-07	8.630185e-07
10	4.3606127e-05	4.1480703e-06	2.220607e-05	0.0	0.00030526277	7.682954e-06	0.0033755107	1.1768034e-06	1.4733004e-06	6.693773e-05	0.0	0.0006982996	0.0016573583	3.1606855e-06	1.3424456e-05	2.1987582e-06	1.0299796e-05	0.0011717215	0.0	5.1680857e-08	1.6131979e-05	1.1281528e-05	1.7025388e-06	5.322068e-06	1.565898e-05	2.4593073e-06	3.8098144e-05	3.8947547e-09	0.0022254344	3.2493932e-07	0.0029796944	7.78e-06	0.0	9.435436e-06	0.0	0.00027453215	0.00045392776	8.462133e-07	4.754571e-06	1.5814387e-06	1.3414918e-05	0.00073139684	0.010441268	2.6338603e-06	5.2735636e-06	2.9412445e-06	6.077072e-07	2.2233178e-07
