run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR2017411	SAMEA104142374	ERX2076993	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017411/ERR2017411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017411/ERR2017411_2.fastq.gz
ERR2017415	SAMEA104142370	ERX2076997	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017415/ERR2017415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017415/ERR2017415_2.fastq.gz
ERR2017420	SAMEA104142365	ERX2077002	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017420/ERR2017420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017420/ERR2017420_2.fastq.gz
ERR2017421	SAMEA104142364	ERX2077003	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017421/ERR2017421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/001/ERR2017421/ERR2017421_2.fastq.gz
ERR2017438	SAMEA104142347	ERX2077020	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017438/ERR2017438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017438/ERR2017438_2.fastq.gz
ERR2017440	SAMEA104142345	ERX2077022	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017440/ERR2017440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017440/ERR2017440_2.fastq.gz
ERR2017442	SAMEA104142343	ERX2077024	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017442/ERR2017442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017442/ERR2017442_2.fastq.gz
ERR2017443	SAMEA104142342	ERX2077025	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017443/ERR2017443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017443/ERR2017443_2.fastq.gz
ERR2017446	SAMEA104142336	ERX2077028	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017446/ERR2017446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/006/ERR2017446/ERR2017446_2.fastq.gz
ERR2017449	SAMEA104142326	ERX2077031	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017449/ERR2017449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/009/ERR2017449/ERR2017449_2.fastq.gz
ERR2017452	SAMEA104142327	ERX2077034	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017452/ERR2017452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/002/ERR2017452/ERR2017452_2.fastq.gz
ERR2017453	SAMEA104142337	ERX2077035	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017453/ERR2017453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/003/ERR2017453/ERR2017453_2.fastq.gz
ERR2017454	SAMEA104142341	ERX2077036	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017454/ERR2017454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/004/ERR2017454/ERR2017454_2.fastq.gz
ERR2017455	SAMEA104142339	ERX2077037	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017455/ERR2017455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/005/ERR2017455/ERR2017455_2.fastq.gz
ERR2017458	SAMEA104142333	ERX2077040	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017458/ERR2017458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/008/ERR2017458/ERR2017458_2.fastq.gz
ERR2017460	SAMEA104142334	ERX2077042	PRJEB21528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017460/ERR2017460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR201/000/ERR2017460/ERR2017460_2.fastq.gz
