run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR1190536	SAMEA3708462	ERX1263911	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1190536/ERR1190536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1190536/ERR1190536_2.fastq.gz
ERR1190538	SAMEA3708464	ERX1263913	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1190538/ERR1190538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1190538/ERR1190538_2.fastq.gz
ERR1190541	SAMEA3708467	ERX1263916	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1190541/ERR1190541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1190541/ERR1190541_2.fastq.gz
ERR1190549	SAMEA3708475	ERX1263924	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1190549/ERR1190549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1190549/ERR1190549_2.fastq.gz
ERR1190552	SAMEA3708478	ERX1263927	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1190552/ERR1190552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1190552/ERR1190552_2.fastq.gz
ERR1190555	SAMEA3708481	ERX1263930	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1190555/ERR1190555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1190555/ERR1190555_2.fastq.gz
ERR1190558	SAMEA3708484	ERX1263933	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1190558/ERR1190558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1190558/ERR1190558_2.fastq.gz
ERR1190560	SAMEA3708486	ERX1263935	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1190560/ERR1190560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1190560/ERR1190560_2.fastq.gz
ERR1190563	SAMEA3708489	ERX1263938	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1190563/ERR1190563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1190563/ERR1190563_2.fastq.gz
ERR1190566	SAMEA3708492	ERX1263941	PRJEB12123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1190566/ERR1190566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1190566/ERR1190566_2.fastq.gz
