run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR321068	SAMEA2149557	ERX294201	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321068/ERR321068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321068/ERR321068_2.fastq.gz
ERR321072	SAMEA2147193	ERX294205	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321072/ERR321072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321072/ERR321072_2.fastq.gz
ERR321073	SAMEA2147193	ERX294206	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321073/ERR321073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321073/ERR321073_2.fastq.gz
ERR321074	SAMEA1970465	ERX294207	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321074/ERR321074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321074/ERR321074_2.fastq.gz
ERR321077	SAMEA1970465	ERX294210	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321077/ERR321077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321077/ERR321077_2.fastq.gz
ERR321078	SAMEA1970465	ERX294211	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321078/ERR321078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321078/ERR321078_2.fastq.gz
ERR321082	SAMEA1970582	ERX294215	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321082/ERR321082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321082/ERR321082_2.fastq.gz
ERR321086	SAMEA2144299	ERX294219	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321086/ERR321086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321086/ERR321086_2.fastq.gz
ERR321089	SAMEA2159553	ERX294222	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321089/ERR321089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321089/ERR321089_2.fastq.gz
ERR321092	SAMEA2161876	ERX294225	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321092/ERR321092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321092/ERR321092_2.fastq.gz
ERR321093	SAMEA2161876	ERX294226	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321093/ERR321093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321093/ERR321093_2.fastq.gz
ERR321094	SAMEA2161876	ERX294227	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321094/ERR321094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321094/ERR321094_2.fastq.gz
ERR321096	SAMEA2161876	ERX294229	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321096/ERR321096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321096/ERR321096_2.fastq.gz
ERR321098	SAMEA2161876	ERX294231	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321098/ERR321098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321098/ERR321098_2.fastq.gz
ERR321099	SAMEA2152467	ERX294232	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321099/ERR321099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321099/ERR321099_2.fastq.gz
ERR321100	SAMEA2152467	ERX294233	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321100/ERR321100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321100/ERR321100_2.fastq.gz
ERR321101	SAMEA1970897	ERX294234	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321101/ERR321101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321101/ERR321101_2.fastq.gz
ERR321103	SAMEA1970897	ERX294236	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321103/ERR321103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321103/ERR321103_2.fastq.gz
ERR321104	SAMEA2151054	ERX294237	PRJEB4336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321104/ERR321104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321104/ERR321104_2.fastq.gz
