run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
SRR341586	SAMN00715136	SRX095667	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341586/SRR341586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341586/SRR341586_2.fastq.gz
SRR341587	SAMN00715137	SRX095668	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341587/SRR341587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341587/SRR341587_2.fastq.gz
SRR341588	SAMN00715138	SRX095669	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341588/SRR341588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341588/SRR341588_2.fastq.gz
SRR341590	SAMN00715140	SRX095671	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341590/SRR341590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341590/SRR341590_2.fastq.gz
SRR341596	SAMN00715146	SRX095677	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341596/SRR341596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341596/SRR341596_2.fastq.gz
SRR341602	SAMN00715152	SRX095683	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341602/SRR341602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341602/SRR341602_2.fastq.gz
SRR341604	SAMN00715154	SRX095685	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341604/SRR341604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341604/SRR341604_2.fastq.gz
SRR341611	SAMN00715161	SRX095692	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341611/SRR341611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341611/SRR341611_2.fastq.gz
SRR341612	SAMN00715162	SRX095693	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341612/SRR341612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341612/SRR341612_2.fastq.gz
SRR341615	SAMN00715165	SRX095696	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341615/SRR341615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341615/SRR341615_2.fastq.gz
SRR341617	SAMN00715167	SRX095698	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341617/SRR341617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341617/SRR341617_2.fastq.gz
SRR341623	SAMN00715173	SRX095704	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341623/SRR341623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341623/SRR341623_2.fastq.gz
SRR341624	SAMN00715174	SRX095705	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341624/SRR341624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341624/SRR341624_2.fastq.gz
SRR341626	SAMN00715176	SRX095707	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341626/SRR341626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341626/SRR341626_2.fastq.gz
SRR341627	SAMN00715177	SRX095708	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341627/SRR341627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341627/SRR341627_2.fastq.gz
SRR341628	SAMN00715178	SRX095709	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341628/SRR341628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341628/SRR341628_2.fastq.gz
SRR341630	SAMN00715180	SRX095711	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341630/SRR341630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341630/SRR341630_2.fastq.gz
SRR341631	SAMN00715181	SRX095712	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341631/SRR341631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341631/SRR341631_2.fastq.gz
SRR341634	SAMN00715184	SRX095715	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341634/SRR341634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341634/SRR341634_2.fastq.gz
SRR341640	SAMN00715190	SRX095721	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341640/SRR341640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341640/SRR341640_2.fastq.gz
SRR341645	SAMN00715195	SRX095726	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341645/SRR341645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341645/SRR341645_2.fastq.gz
SRR341650	SAMN00715200	SRX095731	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341650/SRR341650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341650/SRR341650_2.fastq.gz
SRR341653	SAMN00715203	SRX095734	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341653/SRR341653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341653/SRR341653_2.fastq.gz
SRR341659	SAMN00715209	SRX095740	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341659/SRR341659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341659/SRR341659_2.fastq.gz
SRR341660	SAMN00715210	SRX095741	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341660/SRR341660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341660/SRR341660_2.fastq.gz
SRR341663	SAMN00715213	SRX095744	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341663/SRR341663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341663/SRR341663_2.fastq.gz
SRR341664	SAMN00715214	SRX095745	PRJNA422434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341664/SRR341664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/SRR341664/SRR341664_2.fastq.gz
