run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
ERR260134	SAMEA1906542	ERX234722	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_2.fastq.gz
ERR260137	SAMEA1906573	ERX234725	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_2.fastq.gz
ERR260138	SAMEA1906552	ERX234726	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_2.fastq.gz
ERR260141	SAMEA1906485	ERX234729	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_2.fastq.gz
ERR260147	SAMEA1906490	ERX234735	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260147/ERR260147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260147/ERR260147_2.fastq.gz
ERR260156	SAMEA1906518	ERX234744	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260156/ERR260156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260156/ERR260156_2.fastq.gz
ERR260158	SAMEA1906561	ERX234746	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260158/ERR260158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260158/ERR260158_2.fastq.gz
ERR260159	SAMEA1906435	ERX234747	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260159/ERR260159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260159/ERR260159_2.fastq.gz
ERR260161	SAMEA1906482	ERX234749	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_2.fastq.gz
ERR260163	SAMEA1906470	ERX234751	PRJEB1786	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_2.fastq.gz
