run_accession	sample_accession	experiment_accession	study_accession	fastq_ftp
SRR6928705	SAMN08848408	SRX3874553	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928705/SRR6928705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928705/SRR6928705_2.fastq.gz
SRR6928707	SAMN08848406	SRX3874551	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928707/SRR6928707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/007/SRR6928707/SRR6928707_2.fastq.gz
SRR6928708	SAMN08848407	SRX3874550	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928708/SRR6928708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928708/SRR6928708_2.fastq.gz
SRR6928710	SAMN08848411	SRX3874548	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928710/SRR6928710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928710/SRR6928710_2.fastq.gz
SRR6928713	SAMN08848399	SRX3874545	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928713/SRR6928713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928713/SRR6928713_2.fastq.gz
SRR6928715	SAMN08848397	SRX3874543	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928715/SRR6928715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928715/SRR6928715_2.fastq.gz
SRR6928718	SAMN08848394	SRX3874540	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928718/SRR6928718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928718/SRR6928718_2.fastq.gz
SRR6928720	SAMN08848392	SRX3874538	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928720/SRR6928720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/000/SRR6928720/SRR6928720_2.fastq.gz
SRR6928723	SAMN08848424	SRX3874535	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928723/SRR6928723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928723/SRR6928723_2.fastq.gz
SRR6928728	SAMN08848429	SRX3874530	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928728/SRR6928728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928728/SRR6928728_2.fastq.gz
SRR6928729	SAMN08848430	SRX3874529	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928729/SRR6928729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/009/SRR6928729/SRR6928729_2.fastq.gz
SRR6928733	SAMN08848382	SRX3874525	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928733/SRR6928733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/003/SRR6928733/SRR6928733_2.fastq.gz
SRR6928735	SAMN08848384	SRX3874523	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928735/SRR6928735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/005/SRR6928735/SRR6928735_2.fastq.gz
SRR6928736	SAMN08848385	SRX3874522	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928736/SRR6928736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/006/SRR6928736/SRR6928736_2.fastq.gz
SRR6928738	SAMN08848387	SRX3874520	PRJNA448494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928738/SRR6928738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR692/008/SRR6928738/SRR6928738_2.fastq.gz
