user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.4%)
10	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.2%)
100	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	N/A	N/A	N/A	N/A	N/A	GCA_900545925.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp900545925	93.68	0.32	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000432135.1, s__CAG-170 sp000432135, 95.0, 96.06, 0.427; GCA_900751035.1, s__CAG-170 sp900751035, 95.0, 90.83, 0.291; GCA_934668295.1, s__CAG-170 sp934668295, 95.0, 89.95, 0.384; GCA_934646185.1, s__CAG-170 sp934646185, 95.0, 89.8, 0.277; GCA_902796245.1, s__CAG-170 sp902796245, 95.0, 89.4, 0.354; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 87.89, 0.192	19.58	11	0.99555	Genome has more than 18.3% of markers with multiple hits
1000	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_037368805.1, s__CAG-177 sp000431775, 95.0, 97.61, 0.186; GCA_963592475.1, s__CAG-177 sp963592475, 95.0, 97.1, 0.274; GCA_003514385.1, s__CAG-177 sp003514385, 95.0, 96.62, 0.275; GCA_002451755.1, s__CAG-177 sp002451755, 95.0, 96.31, 0.215; GCA_002438685.1, s__CAG-177 sp002438685, 95.0, 95.11, 0.236; GCA_963620555.1, s__CAG-177 sp963620555, 95.0, 93.76, 0.241; GCA_963612725.1, s__CAG-177 sp963612725, 95.0, 93.71, 0.241; GCA_003538135.1, s__CAG-177 sp003538135, 95.0, 92.63, 0.219	15.39	11	0.90013	N/A
1001	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1002	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
1003	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.1%)
1004	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.5%)
1005	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.0%)
1006	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.3%)
1007	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.9%)
1009	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
101	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	21.13	11	0.89145	Genome has more than 20.8% of markers with multiple hits
1010	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.9%)
1012	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.6%)
1013	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.7%)
1014	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.3%)
1015	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.4%)
1016	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.6%)
1017	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	13.05	11	0.99346	N/A
1018	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.6%)
1019	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000173975.1, s__Anaerobutyricum hallii, 95.0, 97.8, 0.204	15.41	11	0.97628	N/A
102	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	10.01	11	0.95627	Genome has more than 16.7% of markers with multiple hits
1020	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	N/A	N/A	N/A	N/A	N/A	GCA_000433635.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635	97.72	0.436	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000468015.1, s__Ruminococcus_C callidus, 95.0, 95.47, 0.215; GCA_902464115.1, s__Ruminococcus_C sp902464115, 95.0, 94.54, 0.401	18.55	11	0.99918	N/A
1021	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.3%)
1022	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.7%)
1023	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	N/A	N/A	N/A	N/A	N/A	GCF_019967995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	89.29	0.311	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 96.79, 0.43; GCF_020687245.1, s__Faecalibacterium longum, 95.36, 89.12, 0.24; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 88.94, 0.223; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 87.68, 0.162; GCF_023347275.1, s__Faecalibacterium butyricigenerans, 95.0, 87.41, 0.201; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 87.33, 0.205; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 87.07, 0.21; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 86.98, 0.182; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 86.65, 0.168; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 86.28, 0.19; GCF_023347535.1, s__Faecalibacterium wellingii, 95.0, 86.21, 0.165	11.12	11	0.99524	N/A
1024	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.7%)
