Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10	89.79	103.07	Neural Network (Specific Model)	11	0.854	8580	261.1146524733876	14615838	0.44	15970	2256	46596	None
100	72.43	1.16	Neural Network (Specific Model)	11	0.887	9904	338.64752116082224	1892877	0.51	1654	260	28985	None
101	52.96	5.9	Neural Network (Specific Model)	11	0.885	7604	311.52308752584423	1530450	0.55	1451	259	33615	None
102	16.48	1.49	Neural Network (Specific Model)	11	0.907	2500	258.2114858705561	935089	0.46	1097	331	9759	None
103	78.07	1.26	Neural Network (Specific Model)	11	0.877	9259	292.3295019157088	1822556	0.54	1827	260	46008	None
104	17.11	2.23	Neural Network (Specific Model)	11	0.895	2500	289.4776536312849	693939	0.44	716	247	10387	None
105	70.49	9.3	Gradient Boost (General Model)	11	0.862	8609	294.9351639969489	1343580	0.6	1311	193	29742	None
106	18.72	4.06	Neural Network (Specific Model)	11	0.904	2707	246.53895582329318	1016105	0.34	1245	321	11611	None
107	71.57	1.72	Neural Network (Specific Model)	11	0.89	9782	299.5320872274143	1618947	0.59	1605	227	41461	None
108	59.06	15.22	Neural Network (Specific Model)	11	0.863	11420	316.02171215880895	1768619	0.39	1612	190	31132	None
109	12.21	0.52	Neural Network (Specific Model)	11	0.891	2500	251.59136690647483	587480	0.5	695	200	11990	None
11	100.0	99.13	Gradient Boost (General Model)	11	0.872	10599	297.82646752769784	16697785	0.49	16337	1931	39382	None
110	24.08	6.3	Neural Network (Specific Model)	11	0.913	3700	275.4993924665857	743356	0.42	823	196	19411	None
111	21.95	1.67	Neural Network (Specific Model)	11	0.866	4521	284.19945355191254	719345	0.57	732	182	15674	None
112	19.95	4.21	Neural Network (Specific Model)	11	0.887	9556	255.70619335347433	1143565	0.5	1324	168	28926	None
113	18.85	1.86	Neural Network (Specific Model)	11	0.854	3828	241.35631349782292	1165914	0.42	1378	306	15051	None
114	49.7	0.31	Neural Network (Specific Model)	11	0.866	9477	322.7203718048025	1441307	0.56	1291	180	26961	None
115	52.44	1.1	Gradient Boost (General Model)	11	0.858	12043	281.7368421052632	1532557	0.28	1558	169	33325	None
116	31.85	11.6	Neural Network (Specific Model)	11	0.865	18191	319.12638504155126	3189474	0.39	2888	183	36455	None
118	65.39	1.46	Neural Network (Specific Model)	11	0.892	9764	332.7132974634896	1453235	0.48	1301	207	25877	None
119	70.13	4.8	Neural Network (Specific Model)	11	0.892	9359	283.73476454293626	1375358	0.45	1444	191	24150	None
12	90.1	85.58	Neural Network (Specific Model)	11	0.896	11154	322.3662351203406	12394710	0.46	11509	1347	42031	None
122	27.04	2.53	Neural Network (Specific Model)	11	0.922	3487	304.4357326478149	769199	0.61	778	213	12541	None
123	21.88	7.17	Neural Network (Specific Model)	11	0.838	11429	234.5195381882771	1883446	0.5	2252	189	41371	None
124	73.77	2.92	Neural Network (Specific Model)	11	0.932	9804	286.18494623655914	1281447	0.32	1395	195	36738	None
126	37.11	4.63	Neural Network (Specific Model)	11	0.887	11592	286.99638118214716	1606742	0.35	1658	165	36978	None
128	12.9	1.44	Neural Network (Specific Model)	11	0.924	2500	331.73313343328334	717312	0.48	667	251	9115	None
129	23.03	1.56	Neural Network (Specific Model)	11	0.919	2926	263.32334384858046	544149	0.33	634	168	8384	None
13	68.45	32.74	Gradient Boost (General Model)	11	0.893	7871	287.5373406193078	15874060	0.39	16470	2538	43986	None
131	44.0	1.26	Gradient Boost (General Model)	11	0.883	10657	283.724212034384	1342801	0.28	1396	152	31116	None
132	82.93	1.85	Neural Network (Specific Model)	11	0.898	10594	276.3759296822177	1362817	0.56	1479	193	28333	None
133	23.18	4.02	Neural Network (Specific Model)	11	0.878	2500	251.79421768707482	505404	0.38	588	171	7340	None
134	36.13	20.22	Neural Network (Specific Model)	11	0.906	12554	285.2603174603175	1484520	0.37	1575	155	44387	None
135	23.43	9.59	Neural Network (Specific Model)	11	0.879	11732	259.9407806191117	1310850	0.49	1486	145	27311	None
136	16.97	0.16	Neural Network (Specific Model)	11	0.881	3205	244.39418254764294	827094	0.54	997	236	13403	None
137	10.72	0.13	Neural Network (Specific Model)	11	0.86	2500	231.0909090909091	397968	0.47	495	141	7671	None
138	17.28	2.05	Neural Network (Specific Model)	11	0.862	2500	241.4206349206349	633618	0.39	756	227	9079	None
139	13.52	1.3	Neural Network (Specific Model)	11	0.907	2500	276.0769230769231	651252	0.47	715	225	10405	None
14	57.64	88.42	Neural Network (Specific Model)	11	0.879	9631	272.908774320539	12281809	0.41	13209	1628	34584	Low confidence prediction - substantial (29%) disagreement between completeness prediction models
140	17.33	0.65	Neural Network (Specific Model)	11	0.9	3480	298.89342806394313	560064	0.42	563	153	16991	None
141	35.16	6.19	Neural Network (Specific Model)	11	0.871	16928	287.5277486910995	1887382	0.52	1910	143	43888	None
142	45.52	0.51	Neural Network (Specific Model)	11	0.887	7847	307.4902186421174	902385	0.39	869	140	45346	None
143	11.41	2.3	Neural Network (Specific Model)	11	0.91	2500	266.76329787234044	660065	0.44	752	220	9796	None
144	52.78	0.53	Neural Network (Specific Model)	11	0.89	9632	324.4028906955736	1208473	0.65	1107	144	31739	None
145	71.51	10.92	Gradient Boost (General Model)	11	0.914	11932	268.81463748290014	1284419	0.34	1462	140	29651	None
146	23.37	19.41	Neural Network (Specific Model)	11	0.904	3379	286.65203761755487	606293	0.4	638	172	12492	None
147	18.97	4.4	Neural Network (Specific Model)	11	0.887	4040	294.9466911764706	542146	0.6	544	145	10178	None
148	15.7	0.2	Neural Network (Specific Model)	11	0.91	2904	278.6563039723662	530297	0.52	579	162	11453	None
149	13.41	1.05	Neural Network (Specific Model)	11	0.879	2500	268.4325581395349	393277	0.43	430	132	13194	None
15	68.6	33.86	Neural Network (Specific Model)	11	0.9	3234	271.0959724700484	7077257	0.43	7846	2035	21067	None
150	11.97	0.42	Neural Network (Specific Model)	11	0.848	3327	242.00867052023122	591648	0.46	692	164	15738	None
151	34.33	4.61	Neural Network (Specific Model)	11	0.902	14971	316.2659675881792	1101402	0.39	1049	113	34126	None
