Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1013	9.12	0.24	Neural Network (Specific Model)	11	0.911	2270	255.38170347003154	266139	0.46	317	115	3388	None
1023	16.1	5.32	Neural Network (Specific Model)	11	0.882	4452	252.57801418439718	483432	0.6	564	114	7445	None
103	63.34	28.91	Gradient Boost (General Model)	11	0.89	2881	248.164654905602	2698890	0.5	3231	948	5335	None
1037	12.51	2.4	Neural Network (Specific Model)	11	0.895	10602	308.9419263456091	729515	0.45	706	70	22201	None
1039	3.79	0.16	Neural Network (Specific Model)	11	0.887	2283	240.51438848920864	225188	0.45	278	96	3357	None
1052	7.17	0.02	Neural Network (Specific Model)	11	0.88	2407	203.4496644295302	206026	0.37	298	84	3437	None
1062	12.55	2.97	Neural Network (Specific Model)	11	0.896	2709	224.43890274314214	300642	0.52	401	109	4826	None
107	27.14	24.63	Neural Network (Specific Model)	11	0.915	2682	274.1207955542556	3065928	0.49	3419	1154	5011	None
1077	8.37	1.32	Neural Network (Specific Model)	11	0.942	2337	257.33858267716533	207697	0.3	254	88	3601	None
1082	12.28	1.46	Neural Network (Specific Model)	11	0.915	2458	285.0069204152249	269803	0.6	289	107	3872	None
1090	7.79	0.03	Neural Network (Specific Model)	11	0.893	2253	246.2895622895623	245097	0.5	297	106	3428	None
1092	12.1	10.96	Neural Network (Specific Model)	11	0.889	4646	312.4527027027027	467577	0.61	444	106	9461	None
1102	8.04	0.77	Neural Network (Specific Model)	11	0.888	2754	211.3177339901478	289194	0.6	406	105	4275	None
1106	10.93	0.19	Neural Network (Specific Model)	11	0.939	2714	306.68989547038325	280256	0.48	287	105	4813	None
1107	7.72	0.14	Neural Network (Specific Model)	11	0.904	5139	311.99203187251	519051	0.42	502	105	7342	None
1109	13.7	17.62	Neural Network (Specific Model)	11	0.898	7326	313.87608069164264	726122	0.45	694	101	12724	None
1110	8.17	2.25	Neural Network (Specific Model)	11	0.889	2608	264.79605263157896	271520	0.61	304	105	4566	None
1118	10.91	2.61	Neural Network (Specific Model)	11	0.923	8340	299.0915371329879	561030	0.42	579	67	12802	None
1119	11.21	2.11	Neural Network (Specific Model)	11	0.933	3443	296.1475409836066	347992	0.62	366	104	7477	None
1125	7.46	0.09	Neural Network (Specific Model)	11	0.89	2312	253.95104895104896	244450	0.42	286	104	3329	None
1148	50.25	12.44	Neural Network (Specific Model)	11	0.887	23592	332.69304733727813	1519717	0.6	1352	73	47836	None
115	1.1	119.44	Neural Network (Specific Model)	11	0.889	30273	315.06455696202534	21812455	0.51	20540	847	59968	None
1151	15.78	8.11	Neural Network (Specific Model)	11	0.911	4957	276.6576923076923	472453	0.43	520	101	7975	None
1152	11.68	1.48	Neural Network (Specific Model)	11	0.883	4150	242.61914460285132	403896	0.42	491	101	6654	None
1166	23.35	3.99	Neural Network (Specific Model)	11	0.861	10569	295.7701149425287	627089	0.56	609	61	20260	None
1169	11.85	7.66	Neural Network (Specific Model)	11	0.934	4474	303.7681818181818	428449	0.66	440	99	9975	None
1170	7.1	0.15	Neural Network (Specific Model)	11	0.866	3932	206.7468671679198	284401	0.3	399	70	5707	None
1171	10.39	0.08	Neural Network (Specific Model)	11	0.826	4282	245.23561643835617	323955	0.46	365	76	8819	None
1181	11.36	3.07	Neural Network (Specific Model)	11	0.869	2886	238.1	287213	0.59	350	99	4435	None
1187	7.3	0.07	Neural Network (Specific Model)	11	0.899	2420	257.9187279151943	243310	0.34	283	98	3992	None
1188	20.57	2.6	Neural Network (Specific Model)	11	0.923	4235	285.8005319148936	348535	0.28	376	85	7994	None
1206	27.07	2.95	Neural Network (Specific Model)	11	0.878	5510	255.35355285961873	502932	0.28	577	96	8115	None
1207	6.18	0.04	Neural Network (Specific Model)	11	0.925	3537	280.4120879120879	330408	0.47	364	96	5278	None
1212	13.97	2.88	Neural Network (Specific Model)	11	0.899	13041	275.99231613611414	836424	0.49	911	65	23936	None
1213	4.41	0.08	Neural Network (Specific Model)	11	0.874	2678	213.29971181556195	253341	0.37	347	95	4599	None
1216	13.42	0.55	Neural Network (Specific Model)	11	0.89	2661	232.33841463414635	256332	0.45	328	95	4784	None
1218	21.33	5.15	Neural Network (Specific Model)	11	0.88	5130	260.9365384615385	461909	0.4	520	95	7367	None
1222	14.12	2.04	Neural Network (Specific Model)	11	0.89	6425	327.5811209439528	373732	0.56	339	59	15258	None
1224	10.59	1.88	Neural Network (Specific Model)	11	0.856	4979	261.3168316831683	368811	0.49	404	76	8148	None
1227	19.57	3.46	Neural Network (Specific Model)	11	0.901	3112	237.90027700831024	285277	0.28	361	94	4693	None
1238	5.29	0.0	Neural Network (Specific Model)	11	0.91	2568	266.06049822064057	245850	0.45	281	93	4255	None
1246	18.47	7.8	Neural Network (Specific Model)	11	0.906	7398	308.29245283018867	648410	0.44	636	92	10415	None
1247	8.45	0.82	Neural Network (Specific Model)	11	0.925	3103	288.74917491749176	283202	0.52	303	92	5222	None
125	44.31	37.13	Gradient Boost (General Model)	11	0.881	2467	250.8583569405099	2407875	0.42	2824	963	4239	None
1250	17.46	4.06	Neural Network (Specific Model)	11	0.888	5919	276.58	419557	0.59	450	74	8967	None
1251	9.42	2.53	Neural Network (Specific Model)	11	0.917	2865	282.13732394366195	261772	0.47	284	92	3911	None
1252	10.64	8.33	Neural Network (Specific Model)	11	0.924	6387	323.1128318584071	473661	0.61	452	73	15281	None
1253	4.82	0.0	Neural Network (Specific Model)	11	0.906	2775	259.6819672131148	261478	0.49	305	92	5375	None
1263	12.65	1.02	Neural Network (Specific Model)	11	0.925	2795	258.72222222222223	256059	0.34	306	91	4401	None
1266	6.55	0.23	Neural Network (Specific Model)	11	0.924	2572	269.26765799256503	234908	0.59	269	91	4535	None
1268	5.89	0.01	Neural Network (Specific Model)	11	0.93	3533	343.8233215547703	313675	0.43	283	91	5057	None
127	82.73	76.37	Neural Network (Specific Model)	11	0.904	14133	359.2466571834993	8371138	0.44	7030	645	46240	None
1299	26.07	0.64	Neural Network (Specific Model)	11	0.908	4461	244.7887029288703	385410	0.25	478	89	7942	None
