user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
1	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
10	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	14.36	11	0.91964	Genome has more than 62.5% of markers with multiple hits
100	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_027667425.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	97.47	0.332	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_900772675.1, s__Fusicatenibacter sp900772675, 95.0, 91.43, 0.245; GCA_963596755.1, s__Fusicatenibacter sp963596755, 95.0, 86.57, 0.199; GCA_963661155.1, s__Fusicatenibacter massiliensis_A, 95.0, 84.78, 0.203	19.8	11	0.99999	Genome has more than 10.8% of markers with multiple hits
1001	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	GCF_003477605.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	97.92	0.626	GCF_003477605.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	97.92	0.626	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934322085.1, s__Eubacterium_F sp934322085, 95.0, 94.56, 0.574; GCA_937902905.1, s__Eubacterium_F sp937902905, 95.0, 94.14, 0.564	12.49	11	N/A	N/A
1002	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.3%)
1003	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
1004	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	GCA_000434635.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp000434635	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_938049025.1, s__Faecousia sp900752285, 95.0, 98.65, 0.155	22.26	11	0.99776	N/A
1005	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
1006	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
1007	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	GCA_000438155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	98.53	0.786	GCA_000438155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__Suilimivivens sp000438155	98.53	0.786	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suilimivivens;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_021628825.1, s__Suilimivivens sp021628825, 95.0, 93.12, 0.705; GCA_900553305.1, s__Suilimivivens sp900553305, 95.0, 90.81, 0.557; GCA_963638365.1, s__Suilimivivens sp963638365, 95.0, 89.73, 0.621; GCA_963618065.1, s__Suilimivivens sp963618065, 95.0, 88.89, 0.571; GCA_963650485.1, s__Suilimivivens sp963650485, 95.0, 88.15, 0.535	16.48	11	N/A	N/A
1008	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.6%)
1009	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
101	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	N/A	N/A	N/A	N/A	N/A	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.73	0.261	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963626055.1, s__Gemmiger sp963626055, 95.0, 93.54, 0.232	14.24	11	1.0	N/A
1010	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
1011	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.2%)
1012	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.2%)
1013	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.7%)
1014	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000436075	GCA_000436075.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__Anaerotardibacter sp000436075	96.1	0.637	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Anaerotardibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_000436075.1, s__Anaerotardibacter sp000436075, 95.0, 96.1, 0.637; GCA_900553605.1, s__Anaerotardibacter sp900553605, 95.0, 91.36, 0.593; GCA_900544455.1, s__Anaerotardibacter sp900544455, 95.0, 90.82, 0.546; GCA_934617065.1, s__Anaerotardibacter sp934617065, 95.0, 90.8, 0.523; GCA_030540085.1, s__Anaerotardibacter sp030540085, 95.0, 90.19, 0.581; GCA_900547965.1, s__Anaerotardibacter sp900547965, 95.0, 89.17, 0.5; GCA_905203045.1, s__Anaerotardibacter sp900555755, 95.0, 87.17, 0.173; GCA_958431815.1, s__Anaerotardibacter sp958431815, 95.0, 84.16, 0.16	12.05	11	N/A	N/A
1015	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.0%)
1016	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000435555.1, s__Vescimonas sp000435555, 95.0, 95.84, 0.382; GCA_900548615.1, s__Vescimonas sp900548615, 95.0, 94.31, 0.23; GCA_002438575.1, s__Vescimonas sp002438575, 95.0, 93.65, 0.324; GCA_934574095.1, s__Vescimonas sp934574095, 95.0, 88.9, 0.212; GCA_900555735.1, s__Vescimonas sp900555735, 95.0, 88.86, 0.18; GCA_963640475.1, s__Vescimonas sp963640475, 95.0, 88.71, 0.181; GCA_900552725.1, s__Vescimonas sp900552725, 95.0, 88.66, 0.208; GCA_934589145.1, s__Vescimonas sp934589145, 95.01, 88.23, 0.164; GCA_963593515.1, s__Vescimonas sp963593515, 95.0, 88.2, 0.179; GCA_963636325.1, s__Vescimonas sp963636325, 95.0, 88.13, 0.154; GCA_934565655.1, s__Vescimonas sp934565655, 95.0, 88.1, 0.19; GCA_934597345.1, s__Vescimonas sp934597345, 95.0, 88.0, 0.182; GCA_934597585.1, s__Vescimonas sp934597585, 95.0, 87.97, 0.183; GCA_934623575.1, s__Vescimonas sp934623575, 95.0, 87.9, 0.237; GCA_963628195.1, s__Vescimonas sp963628195, 95.0, 87.34, 0.201; GCA_934590325.1, s__Vescimonas sp934590325, 95.0, 87.07, 0.225; GCA_945915065.1, s__Vescimonas sp945915065, 95.0, 86.87, 0.153; GCA_934573935.1, s__Vescimonas sp934573935, 95.0, 86.68, 0.201; GCA_900545495.1, s__Vescimonas sp900545495, 95.0, 86.57, 0.175; GCA_003487665.1, s__Vescimonas sp003487665, 95.0, 86.54, 0.166; GCA_900550585.1, s__Vescimonas sp900550585, 95.0, 86.5, 0.152; GCA_945878665.1, s__Vescimonas sp945878665, 95.0, 86.29, 0.16; GCA_934591815.1, s__Vescimonas sp934591815, 95.0, 86.05, 0.162; GCA_900551995.1, s__Vescimonas sp900551995, 95.0, 86.03, 0.175; GCA_963632705.1, s__Vescimonas sp963632705, 95.0, 85.95, 0.196; GCA_900547745.1, s__Vescimonas sp900547745, 95.0, 85.91, 0.159	14.4	11	0.97492	N/A
