Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1	0.0	125.33	Neural Network (Specific Model)	11	0.903	10216	332.6404406458048	272086250	0.43	246638	35882	55146	None
10	75.05	38.12	Gradient Boost (General Model)	11	0.894	2500	275.70067941620533	7338005	0.44	7948	2494	19809	None
1009	12.62	0.02	Neural Network (Specific Model)	11	0.895	14675	284.30094043887146	605647	0.38	638	50	21116	None
101	66.25	0.85	Neural Network (Specific Model)	11	0.871	8432	295.4761388286334	1874044	0.64	1844	311	40506	None
102	84.26	21.6	Neural Network (Specific Model)	11	0.875	11289	299.47412457390766	3306598	0.56	3227	400	51673	None
1038	11.1	0.49	Neural Network (Specific Model)	11	0.923	26019	301.9776357827476	305733	0.51	313	19	49789	None
104	85.26	72.26	Neural Network (Specific Model)	11	0.903	12095	281.17045143638853	3406586	0.31	3655	363	44460	None
105	32.92	8.84	Neural Network (Specific Model)	11	0.851	7941	264.45545617173525	2596409	0.41	2795	378	29786	None
106	9.04	0.19	Neural Network (Specific Model)	11	0.868	3730	255.19082125603865	364013	0.35	414	100	10192	None
107	75.81	2.07	Gradient Boost (General Model)	11	0.814	9102	296.8674816625917	2233653	0.53	2045	335	34017	None
108	71.51	5.59	Neural Network (Specific Model)	11	0.859	8058	305.6459833795014	1923198	0.59	1805	330	29101	None
11	19.11	107.91	Neural Network (Specific Model)	11	0.879	9247	271.39872718666174	17582478	0.41	19013	2533	36752	None
110	29.44	6.73	Neural Network (Specific Model)	11	0.846	2885	218.56469679412902	2000000	0.4	2589	592	13597	None
111	19.55	6.4	Neural Network (Specific Model)	11	0.829	10612	223.6246220302376	1866452	0.5	2315	232	41371	None
112	15.09	1.14	Neural Network (Specific Model)	11	0.904	2541	260.75	417929	0.32	484	130	10004	None
113	54.6	14.25	Gradient Boost (General Model)	11	0.896	5484	254.46764819837273	2195080	0.35	2581	484	22026	None
114	39.49	7.8	Neural Network (Specific Model)	11	0.859	4164	270.05752840909093	1324993	0.57	1408	328	21758	None
115	82.81	0.15	Gradient Boost (General Model)	11	0.884	7515	283.86396050466266	1754055	0.48	1823	307	28705	None
1158	15.79	0.02	Neural Network (Specific Model)	11	0.883	25459	330.6166666666667	470815	0.42	420	24	45593	None
117	37.39	13.55	Neural Network (Specific Model)	11	0.899	2500	266.22727272727275	994816	0.43	1122	311	24304	None
119	23.56	1.41	Neural Network (Specific Model)	11	0.884	2500	248.24182242990653	719586	0.59	856	273	4964	None
12	94.55	108.22	Neural Network (Specific Model)	11	0.894	8114	287.2351278790448	13610011	0.42	14154	2248	36978	None
120	83.69	4.78	Neural Network (Specific Model)	11	0.875	8689	288.9074525085241	2029238	0.54	2053	313	46008	None
121	59.29	7.12	Gradient Boost (General Model)	11	0.854	10313	267.24608408903543	2269873	0.47	2426	262	34970	None
122	23.72	13.74	Neural Network (Specific Model)	11	0.893	11649	269.62834775442934	2185930	0.49	2427	268	36853	None
124	37.76	9.55	Neural Network (Specific Model)	11	0.869	2500	266.57116451016634	994472	0.59	1082	335	11108	None
125	34.05	4.52	Neural Network (Specific Model)	11	0.884	2500	261.67496029645315	1673038	0.46	1889	529	15246	None
127	80.23	8.26	Neural Network (Specific Model)	11	0.89	8366	276.17697686928454	1728351	0.45	1859	277	24150	None
128	33.52	0.33	Neural Network (Specific Model)	11	0.882	4014	244.69529411764705	705084	0.55	850	178	15453	None
13	93.5	96.26	Neural Network (Specific Model)	11	0.895	10549	329.3175730902232	17538213	0.59	15905	2022	47390	None
130	21.09	3.1	Neural Network (Specific Model)	11	0.875	2500	251.54545454545453	700161	0.48	814	251	10421	None
131	75.3	4.52	Neural Network (Specific Model)	11	0.874	10394	306.566568914956	1791922	0.61	1705	233	30307	None
132	76.68	4.3	Neural Network (Specific Model)	11	0.894	8568	320.22034956304617	1718876	0.48	1602	281	25877	None
134	24.7	0.58	Neural Network (Specific Model)	11	0.893	3420	280.7671755725191	987355	0.48	1048	269	19231	None
135	19.36	0.22	Neural Network (Specific Model)	11	0.899	2500	273.16812865497076	622193	0.43	684	195	18112	None
138	17.12	1.35	Neural Network (Specific Model)	11	0.901	2500	287.50043591979073	1094825	0.35	1147	357	11599	None
139	37.63	0.79	Neural Network (Specific Model)	11	0.876	5558	272.559375	894512	0.4	960	195	25851	None
14	44.7	14.4	Neural Network (Specific Model)	11	0.86	6266	246.9630681818182	2118259	0.37	2464	393	18667	None
140	36.47	0.03	Neural Network (Specific Model)	11	0.852	6841	262.67938237965484	1016860	0.28	1101	190	25219	None
141	75.77	30.49	Gradient Boost (General Model)	11	0.876	10039	336.8475282906492	1933674	0.61	1679	207	28431	None
143	69.11	0.71	Neural Network (Specific Model)	11	0.893	8371	323.04555010511564	1546413	0.65	1427	217	31739	None
146	69.18	12.0	Gradient Boost (General Model)	11	0.894	9892	285.0980707395498	1779549	0.43	1866	245	43357	None
147	30.34	10.05	Neural Network (Specific Model)	11	0.895	12991	292.69765561843167	1211858	0.32	1237	141	34595	None
148	20.73	5.1	Neural Network (Specific Model)	11	0.865	2500	266.6519944979367	670632	0.58	727	229	10851	None
15	13.2	2.6	Neural Network (Specific Model)	11	0.861	2500	224.20662983425413	705609	0.4	905	264	5228	None
150	11.05	1.64	Neural Network (Specific Model)	11	0.887	2500	244.59264705882353	561224	0.51	680	207	6068	None
151	31.75	3.46	Neural Network (Specific Model)	11	0.901	6169	290.65	714856	0.39	740	151	31953	None
152	10.1	0.21	Neural Network (Specific Model)	11	0.867	2500	232.65011037527594	726430	0.56	906	244	19170	None
155	19.52	0.54	Neural Network (Specific Model)	11	0.886	2500	253.26357466063348	755723	0.49	884	273	9535	None
157	14.5	3.05	Neural Network (Specific Model)	11	0.875	6911	248.60474978795588	1001824	0.61	1179	181	29208	None
158	19.87	2.5	Neural Network (Specific Model)	11	0.9	4064	255.58781362007167	947452	0.49	1116	241	16177	None
159	22.54	2.08	Neural Network (Specific Model)	11	0.828	2760	225.42598509052183	765432	0.35	939	225	17872	None
160	29.41	3.85	Neural Network (Specific Model)	11	0.867	6282	277.13436123348015	868800	0.36	908	177	24410	None
161	15.23	2.68	Neural Network (Specific Model)	11	0.874	3246	271.6264705882353	632341	0.46	680	179	13600	None
162	12.13	5.65	Neural Network (Specific Model)	11	0.903	2787	305.53877551020406	744857	0.39	735	233	10423	None
164	68.87	14.44	Gradient Boost (General Model)	11	0.883	14819	306.07975460122697	2199569	0.5	2119	181	39469	None
165	17.78	1.01	Neural Network (Specific Model)	11	0.836	7442	221.92363344051446	986003	0.39	1244	174	17786	None
166	10.49	0.96	Neural Network (Specific Model)	11	0.887	2500	260.10833333333335	421483	0.51	480	138	10848	None
167	58.35	0.31	Neural Network (Specific Model)	11	0.926	11710	282.5185512367491	1033541	0.32	1132	149	36738	None
168	16.1	16.94	Neural Network (Specific Model)	11	0.908	3748	281.1648780487805	950960	0.55	1025	251	17653	None
169	63.56	1.13	Neural Network (Specific Model)	11	0.878	11058	273.83763530391343	1121711	0.39	1201	151	44552	None
17	7.91	0.01	Neural Network (Specific Model)	11	0.851	6696	214.00862068965517	261074	0.45	348	41	15921	None
170	14.33	1.99	Neural Network (Specific Model)	11	0.887	2500	278.778534923339	552562	0.4	587	178	10178	None
171	42.93	3.68	Neural Network (Specific Model)	11	0.913	10942	285.872634643377	1286685	0.42	1374	176	36240	None
172	29.64	0.75	Neural Network (Specific Model)	11	0.893	11805	304.11704119850185	1089808	0.44	1068	141	43901	None
174	0.0	19.82	Neural Network (Specific Model)	11	0.925	9089	223.33778625954199	379500	0.41	524	55	19378	None
175	16.3	4.56	Neural Network (Specific Model)	11	0.831	2500	215.26216640502355	493718	0.41	637	179	7957	None
176	12.85	2.34	Neural Network (Specific Model)	11	0.89	2500	260.1311475409836	533578	0.42	610	187	7892	None
1760	0.13	20.6	Neural Network (Specific Model)	11	0.903	17631	258.14611872146116	375380	0.41	438	25	27931	None
177	14.83	0.18	Neural Network (Specific Model)	11	0.893	2587	285.00943396226415	405366	0.65	424	128	9250	None
178	10.76	0.44	Neural Network (Specific Model)	11	0.919	2500	289.5388601036269	364330	0.62	386	130	5958	None
18	26.42	3.38	Neural Network (Specific Model)	11	0.888	3395	259.4187370600414	1689730	0.42	1932	464	15734	None
180	3.1	0.0	Neural Network (Specific Model)	11	0.225	5005	83.63687150837988	393313	0.49	358	91	6449	None
181	34.22	4.91	Neural Network (Specific Model)	11	0.876	5891	280.6471571906354	573866	0.6	598	126	16751	None
