Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10_contigs:S10_SemiBin_0	63.24	6.75	Neural Network (Specific Model)	11	0.867	4051	245.79745434421693	1534236	0.33	1807	375	12272	None
10_contigs:S10_SemiBin_1	55.05	0.2	Neural Network (Specific Model)	11	0.902	4354	277.16019716574243	1493991	0.67	1623	355	13966	None
10_contigs:S10_SemiBin_109	100.0	0.41	Neural Network (Specific Model)	11	0.881	5584336	313.1861644331764	5875288	0.53	5522	2	5584336	None
10_contigs:S10_SemiBin_131	99.99	0.4	Neural Network (Specific Model)	11	0.876	3350618	319.36941636778613	3350618	0.54	3067	1	3350618	None
10_contigs:S10_SemiBin_15	87.58	45.54	Neural Network (Specific Model)	11	0.873	22283	283.21036784919494	7420637	0.51	7639	462	90476	None
10_contigs:S10_SemiBin_16	54.29	0.14	Neural Network (Specific Model)	11	0.831	4391	252.43180306054558	1368025	0.32	1503	316	12125	None
10_contigs:S10_SemiBin_19	56.18	11.51	Neural Network (Specific Model)	11	0.896	9580	290.6517107811491	3011389	0.52	3098	389	38404	None
10_contigs:S10_SemiBin_2	99.73	0.36	Neural Network (Specific Model)	11	0.894	19024	299.097328942554	2736877	0.61	2733	199	63362	None
10_contigs:S10_SemiBin_21	81.57	0.28	Neural Network (Specific Model)	11	0.894	9502	295.5746887966805	1908293	0.66	1928	245	47826	None
10_contigs:S10_SemiBin_23	100.0	10.59	Neural Network (Specific Model)	11	0.876	2696746	313.1448547083242	4899750	0.51	4577	46	2696746	None
10_contigs:S10_SemiBin_27	10.04	0.05	Neural Network (Specific Model)	11	0.84	5262	240.56901408450705	608194	0.45	710	122	17707	None
10_contigs:S10_SemiBin_33	51.35	0.16	Neural Network (Specific Model)	11	0.851	4681	262.63820853743874	1321599	0.34	1429	299	13934	None
10_contigs:S10_SemiBin_4	67.91	20.5	Neural Network (Specific Model)	11	0.85	5457	260.2359140656668	2261296	0.33	2467	442	19702	None
10_contigs:S10_SemiBin_40	67.44	19.71	Neural Network (Specific Model)	11	0.889	146425	312.89906103286387	1796986	0.51	1704	96	836477	None
10_contigs:S10_SemiBin_48	6.06	0.02	Neural Network (Specific Model)	11	0.887	3065	251.48214285714286	285242	0.56	336	90	6114	None
10_contigs:S10_SemiBin_49	55.65	37.59	Neural Network (Specific Model)	11	0.874	108378	308.8484974958264	2533951	0.53	2396	83	583492	None
10_contigs:S10_SemiBin_50	37.65	24.72	Neural Network (Specific Model)	11	0.871	68970	310.14356435643566	1292197	0.51	1212	58	174074	None
10_contigs:S10_SemiBin_55	47.31	7.48	Neural Network (Specific Model)	11	0.883	163213	297.42765502494655	1414942	0.52	1403	103	612303	None
10_contigs:S10_SemiBin_7	100.0	35.84	Neural Network (Specific Model)	11	0.837	2955138	282.142133149044	4383780	0.33	4341	298	2955138	None
10_contigs:S10_SemiBin_70	7.99	0.01	Neural Network (Specific Model)	11	0.864	3007	240.72360248447205	268420	0.54	322	86	5786	None
11_contigs:S11_SemiBin_1	56.29	18.69	Neural Network (Specific Model)	11	0.846	13756	298.3122109158187	2284229	0.33	2162	208	72717	None
11_contigs:S11_SemiBin_109	7.59	0.03	Neural Network (Specific Model)	11	0.887	15595	256.2590909090909	570138	0.61	660	45	50969	None
11_contigs:S11_SemiBin_156	99.99	0.73	Neural Network (Specific Model)	11	0.89	3433002	321.4804662885948	3433002	0.67	3174	1	3433002	None
11_contigs:S11_SemiBin_161	100.0	0.2	Neural Network (Specific Model)	11	0.895	2790164	317.1332831325301	2819198	0.61	2656	2	2790164	None
11_contigs:S11_SemiBin_17	71.77	20.75	Neural Network (Specific Model)	11	0.813	956674	298.2371794871795	2741902	0.33	2496	27	1105850	None
11_contigs:S11_SemiBin_20	35.53	25.22	Neural Network (Specific Model)	11	0.855	9129	271.33738796414855	1484755	0.32	1562	182	40206	None
11_contigs:S11_SemiBin_22	32.21	14.89	Neural Network (Specific Model)	11	0.829	14764	274.40463065049613	1798900	0.32	1814	159	41995	None
11_contigs:S11_SemiBin_23	97.75	0.01	Neural Network (Specific Model)	11	0.878	19032	304.67086118757373	5288402	0.58	5086	397	66831	None
11_contigs:S11_SemiBin_32	49.55	0.03	Neural Network (Specific Model)	11	0.878	9305	280.52268244575936	970435	0.46	1014	137	27583	None
11_contigs:S11_SemiBin_34	100.0	31.92	Neural Network (Specific Model)	11	0.874	2265499	300.998969426314	3003708	0.45	2911	105	2265499	None
11_contigs:S11_SemiBin_38	20.98	25.89	Neural Network (Specific Model)	11	0.883	23727	317.1425106124924	1773179	0.5	1649	104	178421	None
11_contigs:S11_SemiBin_39	99.86	15.41	Neural Network (Specific Model)	11	0.865	2337104	316.2755875663381	2889342	0.52	2638	26	2337104	None
11_contigs:S11_SemiBin_4	96.87	0.71	Neural Network (Specific Model)	11	0.83	19871	299.60727611940297	6949691	0.7	6432	521	76698	None
11_contigs:S11_SemiBin_40	31.54	20.38	Neural Network (Specific Model)	11	0.884	15071	304.84128166915053	1385465	0.54	1342	130	38772	None
