Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10	64.53	35.43	Gradient Boost (General Model)	11	0.853	522	117.66866828499639	9672541	0.44	23481	19109	2972	None
1001	11.21	0.74	Neural Network (Specific Model)	11	0.874	5402	267.6372549019608	466758	0.39	510	101	12653	None
101	18.5	6.72	Neural Network (Specific Model)	4	0.803	306	77.94536423841059	873178	0.41	3020	2823	2703	None
1018	6.75	0.04	Neural Network (Specific Model)	11	0.906	3623	260.6836461126005	320955	0.47	373	97	7842	None
102	50.22	12.12	Gradient Boost (General Model)	11	0.904	1966	247.40382244143032	2656647	0.46	3244	1481	7095	None
103	15.44	4.15	Neural Network (Specific Model)	11	0.887	255	79.21562032884903	713255	0.46	2676	2703	2095	None
104	90.13	95.78	Neural Network (Specific Model)	11	0.886	8664	299.7872921320427	8162051	0.56	8058	1600	59791	None
106	18.11	4.53	Neural Network (Specific Model)	4	0.855	336	87.16464718460442	851897	0.5	2806	2583	1319	None
108	15.59	3.64	Neural Network (Specific Model)	11	0.884	369	97.7022607022607	685658	0.44	2079	1763	2680	None
109	94.46	54.72	Gradient Boost (General Model)	11	0.871	3180	247.16350223727173	7022519	0.4	8269	2530	16120	None
110	17.75	5.44	Neural Network (Specific Model)	4	0.787	301	76.83244882486733	767153	0.37	2638	2528	3522	None
113	18.37	4.98	Neural Network (Specific Model)	11	0.898	250	76.09773539928486	636509	0.5	2517	2471	1136	None
114	11.51	4.45	Neural Network (Specific Model)	11	0.927	268	81.2760396039604	661004	0.54	2525	2444	1080	None
115	20.86	2.26	Neural Network (Specific Model)	11	0.861	298	85.17287630402384	792239	0.47	2684	2383	3328	None
1152	5.53	0.01	Neural Network (Specific Model)	11	0.914	5827	416.47027027027025	252718	0.4	185	56	14267	None
116	89.59	77.59	Neural Network (Specific Model)	11	0.879	5966	274.4937652286083	6524925	0.59	6977	1342	30274	None
1190	6.39	0.01	Neural Network (Specific Model)	11	0.874	4781	236.2005277044855	305980	0.5	379	77	18028	None
12	79.87	68.7	Gradient Boost (General Model)	11	0.879	972	157.0878566203365	14606772	0.55	27340	16158	3087	None
122	11.65	4.26	Neural Network (Specific Model)	11	0.874	242	74.39391100702576	542287	0.47	2135	2220	413	None
123	32.67	8.14	Neural Network (Specific Model)	11	0.895	1171	194.08277976494634	1270068	0.57	1957	1201	2718	None
124	10.29	1.66	Neural Network (Specific Model)	4	0.873	244	77.39067629678267	403098	0.47	1523	1588	1277	None
128	13.0	1.57	Neural Network (Specific Model)	11	0.819	230	69.81593110871906	472312	0.35	1858	2039	386	None
129	13.34	3.58	Neural Network (Specific Model)	11	0.847	253	72.48249027237354	524954	0.54	2056	2032	754	None
13	68.06	30.34	Gradient Boost (General Model)	11	0.941	379	105.03730056058646	6188041	0.59	18552	16650	1856	None
131	13.25	8.41	Neural Network (Specific Model)	11	0.865	381	97.45592048401038	776672	0.53	2314	1963	2949	None
132	14.56	5.33	Neural Network (Specific Model)	4	0.793	295	83.04119850187266	583805	0.43	1869	1974	885	None
133	48.05	9.24	Gradient Boost (General Model)	11	0.888	1310	184.73478030704075	1176388	0.47	1889	983	3021	None
136	12.66	7.48	Neural Network (Specific Model)	11	0.78	374	87.10999497739829	663827	0.28	1991	1857	886	None
138	12.27	3.11	Neural Network (Specific Model)	11	0.825	290	78.28809012875537	527509	0.4	1864	1809	1633	None
14	30.57	15.62	Gradient Boost (General Model)	11	0.729	473	92.5138874331831	7214024	0.39	19082	15574	3655	Low confidence prediction - substantial (47%) disagreement between completeness prediction models
141	12.64	4.45	Neural Network (Specific Model)	11	0.958	258	86.80613893376413	502681	0.51	1857	1777	3635	None
142	68.59	14.33	Neural Network (Specific Model)	11	0.914	3149	293.7708074534161	3100365	0.44	3220	1092	25964	None
1420	7.83	0.11	Neural Network (Specific Model)	11	0.884	6952	287.303738317757	208411	0.43	214	39	12286	None
143	11.54	3.02	Neural Network (Specific Model)	11	0.721	247	64.25149342891278	443954	0.44	1674	1769	541	None
144	6.87	0.6	Neural Network (Specific Model)	11	0.947	276	84.07575757575758	297272	0.62	1122	1060	864	None
145	10.7	3.02	Neural Network (Specific Model)	11	0.89	240	75.39577216676453	430524	0.43	1703	1757	1595	None
147	97.73	105.03	Neural Network (Specific Model)	11	0.886	15447	296.1436931079324	12307601	0.44	12304	1061	59905	None
149	13.25	2.41	Neural Network (Specific Model)	11	0.939	235	75.9186460807601	406559	0.48	1684	1698	449	None
15	68.24	32.47	Gradient Boost (General Model)	11	0.891	547	121.73595733189306	6043099	0.43	14812	11877	2589	None
150	9.42	2.38	Neural Network (Specific Model)	11	0.945	233	74.2576760987357	389452	0.62	1661	1642	416	None
151	5.91	0.02	Neural Network (Specific Model)	11	0.6	256	63.75269872423945	322793	0.3	1019	1253	424	None
152	28.26	9.79	Neural Network (Specific Model)	11	0.899	812	157.6509167842031	744067	0.38	1418	1009	2764	None
1547	51.32	4.59	Gradient Boost (General Model)	11	0.913	36195	314.116	1030320	0.57	1000	32	56781	None
156	13.96	3.31	Neural Network (Specific Model)	11	0.871	814	129.7256446991404	621882	0.59	1396	993	3316	None
1565	17.94	0.81	Neural Network (Specific Model)	11	0.873	15131	325.76190476190476	328797	0.56	294	26	26770	None
157	12.43	1.52	Neural Network (Specific Model)	11	0.933	280	87.46913580246914	385455	0.45	1377	1287	2653	None
158	43.17	12.07	Neural Network (Specific Model)	11	0.882	2884	242.52994011976048	3572799	0.46	4342	1527	25405	None
159	6.9	2.25	Neural Network (Specific Model)	11	0.898	262	77.44015696533683	393530	0.55	1529	1493	962	None
16	34.19	7.12	Gradient Boost (General Model)	11	0.916	294	87.12317073170732	3726537	0.55	13120	11997	1748	Low confidence prediction - substantial (25%) disagreement between completeness prediction models
160	8.28	0.08	Neural Network (Specific Model)	11	0.96	297	93.93001686340641	346744	0.61	1186	1079	2463	None
162	97.14	69.67	Gradient Boost (General Model)	11	0.888	8361	278.8569872958258	5183230	0.59	5510	901	38248	None
163	8.93	1.76	Neural Network (Specific Model)	4	0.876	270	78.09840425531915	399213	0.42	1504	1418	3052	None
164	10.44	1.62	Neural Network (Specific Model)	4	0.863	264	74.64641638225255	377512	0.42	1465	1418	574	None
165	19.53	0.62	Neural Network (Specific Model)	11	0.889	851	156.55717407137655	723284	0.58	1373	879	2060	None
166	13.28	1.08	Neural Network (Specific Model)	11	0.855	264	77.9549090909091	374252	0.38	1375	1414	464	None
167	18.03	3.43	Neural Network (Specific Model)	11	0.844	524	121.49764705882353	730357	0.46	1700	1380	2843	None
1672	5.19	0.03	Neural Network (Specific Model)	11	0.916	5790	258.5040322580645	209364	0.45	248	47	17188	None
168	7.85	0.06	Neural Network (Specific Model)	11	0.938	274	88.0	327532	0.49	1169	1066	3635	None
169	9.83	1.74	Neural Network (Specific Model)	11	0.968	259	82.56174161313348	356918	0.6	1401	1356	1391	None
1702	63.26	4.3	Gradient Boost (General Model)	11	0.89	35714	265.18268215417106	844425	0.28	947	37	57108	None
171	14.16	2.66	Neural Network (Specific Model)	11	0.829	284	75.09416725228391	384430	0.36	1423	1360	624	None
172	13.42	2.04	Neural Network (Specific Model)	11	0.884	394	99.92711171662125	496036	0.59	1468	1320	1054	None
1729	8.98	0.18	Neural Network (Specific Model)	11	0.904	10092	271.68091168091166	315642	0.5	351	45	20143	None
173	6.63	0.71	Neural Network (Specific Model)	11	0.896	240	74.7869101978691	327228	0.48	1314	1336	1329	None
175	9.09	0.85	Neural Network (Specific Model)	11	0.781	272	76.53316749585406	352851	0.34	1206	1296	825	None
176	7.81	0.71	Neural Network (Specific Model)	11	0.939	254	77.41685309470544	330041	0.56	1341	1259	1497	None
1764	8.21	0.01	Neural Network (Specific Model)	11	0.928	10080	400.4431137724551	215642	0.41	167	27	22878	None
178	11.01	0.66	Neural Network (Specific Model)	4	0.886	261	81.60941370767961	333188	0.47	1211	1274	482	None
179	11.12	0.68	Neural Network (Specific Model)	4	0.779	300	85.68282988871225	412349	0.42	1258	1250	1999	None
180	5.59	0.01	Neural Network (Specific Model)	11	0.559	240	63.44596651445966	222529	0.24	657	923	434	None
181	7.62	0.6	Neural Network (Specific Model)	11	0.905	255	78.17932654659357	329336	0.46	1277	1245	1752	None
184	26.18	8.81	Neural Network (Specific Model)	11	0.928	752	154.2280701754386	566405	0.3	1140	792	1601	None
186	7.6	0.04	Neural Network (Specific Model)	11	0.906	594	123.94227188081936	439132	0.58	1074	846	2087	None
187	8.95	1.57	Neural Network (Specific Model)	11	0.815	259	73.64022894521668	329365	0.43	1223	1224	1511	None
189	13.36	4.48	Neural Network (Specific Model)	11	0.767	511	110.5269372693727	583104	0.38	1355	1180	2213	None
19	37.86	14.41	Gradient Boost (General Model)	11	0.864	324	91.26300358894	6238345	0.45	19783	19041	3991	Low confidence prediction - substantial (37%) disagreement between completeness prediction models
192	9.91	0.71	Neural Network (Specific Model)	11	0.905	250	79.55030621172354	300151	0.47	1143	1142	3573	None
193	94.01	77.26	Gradient Boost (General Model)	11	0.906	4910	262.8840619811843	3139352	0.27	3614	725	42072	None
194	7.6	0.62	Neural Network (Specific Model)	11	0.93	240	76.91798941798942	280035	0.48	1134	1129	1520	None
195	6.85	0.72	Neural Network (Specific Model)	11	0.808	252	68.8986013986014	290777	0.3	1144	1135	515	None
196	11.36	4.02	Neural Network (Specific Model)	11	0.862	519	122.78376205787781	529975	0.6	1244	1104	1246	None
199	88.44	74.76	Neural Network (Specific Model)	11	0.912	32402	368.28418586489653	15491951	0.43	12805	671	59465	None
20	30.02	7.98	Gradient Boost (General Model)	11	0.865	300	85.5029484029484	3602292	0.51	12210	11629	2553	Low confidence prediction - substantial (27%) disagreement between completeness prediction models
200	11.7	1.86	Neural Network (Specific Model)	11	0.852	525	112.10703592814372	524655	0.46	1336	1066	1889	None
201	8.32	0.03	Neural Network (Specific Model)	11	0.94	254	81.8444236176195	277525	0.48	1067	1072	1389	None
202	15.3	0.29	Neural Network (Specific Model)	11	0.905	834	159.3595302619693	583166	0.61	1107	753	1869	None
203	7.53	0.58	Neural Network (Specific Model)	11	0.88	344	94.69500438212094	366576	0.52	1141	1051	1660	None
204	8.28	0.03	Neural Network (Specific Model)	11	0.883	310	88.78053259871442	326919	0.63	1089	1035	1189	None
206	5.75	0.01	Neural Network (Specific Model)	11	0.898	238	73.22047244094489	247216	0.58	1016	1024	582	None
208	8.59	0.0	Neural Network (Specific Model)	11	0.852	255	76.2982283464567	271545	0.4	1016	1010	1901	None
