Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1007	27.92	3.05	Neural Network (Specific Model)	11	0.9	15074	342.44389027431424	914481	0.45	802	65	35798	None
1012	5.38	10.29	Neural Network (Specific Model)	11	0.88	10564	343.41224489795917	573162	0.38	490	55	19716	None
1021	16.31	24.61	Neural Network (Specific Model)	11	0.886	45316	320.8440082644628	2100204	0.54	1936	61	58341	None
1027	6.14	0.06	Neural Network (Specific Model)	11	0.875	2608	229.9208633093525	218338	0.38	278	85	4565	None
1028	4.64	0.02	Neural Network (Specific Model)	11	0.956	4706	246.4814814814815	206564	0.57	270	43	9155	None
1037	11.18	1.54	Neural Network (Specific Model)	11	0.91	4820	286.6977886977887	383778	0.41	407	84	7707	None
1040	10.98	2.83	Neural Network (Specific Model)	11	0.889	6948	290.86873920552677	567040	0.52	579	84	13182	None
1044	12.72	3.25	Neural Network (Specific Model)	11	0.929	8764	353.45401174168296	582518	0.42	511	67	17739	None
1045	18.92	0.21	Neural Network (Specific Model)	11	0.886	6628	294.40712945590997	530504	0.6	533	83	11614	None
105	33.15	21.09	Neural Network (Specific Model)	11	0.831	2621	213.11057513914656	2070357	0.57	2695	775	5997	None
1055	10.57	0.0	Neural Network (Specific Model)	11	0.906	6915	297.04582210242586	364001	0.64	371	52	16463	None
106	30.09	15.16	Neural Network (Specific Model)	11	0.886	2545	237.1282988225741	1972722	0.4	2463	771	4812	None
1061	8.3	0.43	Neural Network (Specific Model)	11	0.926	4452	320.5187319884726	359391	0.42	347	82	6512	None
1067	10.55	7.24	Neural Network (Specific Model)	11	0.895	6170	287.322265625	492252	0.38	512	81	11845	None
1068	12.75	4.69	Neural Network (Specific Model)	11	0.906	6205	264.13427561837455	493897	0.42	566	81	18202	None
1080	8.53	0.51	Neural Network (Specific Model)	11	0.9	4359	268.66112956810633	269142	0.56	301	66	7794	None
1090	49.65	0.28	Neural Network (Specific Model)	11	0.885	25070	365.71650821089025	1431908	0.55	1157	62	55026	None
1092	10.99	8.52	Neural Network (Specific Model)	11	0.879	5071	283.18092105263156	293657	0.44	304	60	10101	None
1097	9.04	1.23	Neural Network (Specific Model)	11	0.93	2876	270.9770992366412	228484	0.43	262	79	5581	None
1106	10.24	11.98	Neural Network (Specific Model)	11	0.859	6009	312.19302325581396	467983	0.49	430	78	13234	None
1108	4.77	1.0	Neural Network (Specific Model)	11	0.939	7043	502.94952681388014	508801	0.43	317	78	11852	None
