Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10	87.84	24.12	Gradient Boost (General Model)	11	0.892	2500	241.2513784461153	3228350	0.42	3990	1211	6349	None
101	14.09	0.65	Neural Network (Specific Model)	11	0.884	2500	248.45404208194907	760276	0.42	903	275	6653	None
102	68.14	26.95	Neural Network (Specific Model)	11	0.895	12639	306.01417099669345	2167299	0.49	2117	188	42218	None
103	49.05	0.9	Neural Network (Specific Model)	11	0.891	11812	291.9795918367347	1345944	0.44	1372	142	43901	None
104	14.17	0.03	Neural Network (Specific Model)	11	0.894	2905	268.5186721991701	649709	0.49	723	212	6929	None
1047	7.28	0.48	Neural Network (Specific Model)	11	0.864	20585	258.3391304347826	307999	0.44	345	17	32196	None
106	50.08	1.71	Neural Network (Specific Model)	11	0.897	11819	278.6656200941915	1776160	0.31	1911	182	31265	None
108	33.75	13.51	Neural Network (Specific Model)	11	0.887	3372	238.14188422247446	707888	0.4	881	209	9475	None
109	14.05	1.96	Neural Network (Specific Model)	11	0.889	2986	237.9229074889868	727047	0.51	908	230	8414	None
110	73.83	0.09	Gradient Boost (General Model)	11	0.89	8920	291.8303964757709	1337209	0.48	1362	172	28705	None
113	32.71	4.98	Neural Network (Specific Model)	11	0.886	11302	315.09177027827116	1797773	0.42	1689	165	22787	None
114	43.59	3.12	Neural Network (Specific Model)	11	0.856	9615	276.96486486486486	1075472	0.6	1110	155	29742	None
115	59.77	6.26	Gradient Boost (General Model)	11	0.925	13236	299.82154445165474	1495790	0.37	1541	137	31985	None
116	69.46	0.36	Neural Network (Specific Model)	11	0.879	10331	300.5251358695652	1506565	0.54	1472	168	46008	None
12	71.57	66.28	Gradient Boost (General Model)	11	0.899	4284	289.1370068027211	7076838	0.45	7350	1775	17561	None
122	12.01	0.98	Neural Network (Specific Model)	11	0.843	2500	243.75153751537516	703140	0.41	813	237	6752	None
123	15.37	1.32	Neural Network (Specific Model)	11	0.825	2500	210.2580287929125	688343	0.42	903	235	7724	None
1231	10.5	0.22	Neural Network (Specific Model)	11	0.9	27794	288.9209621993127	279795	0.32	291	11	34595	None
124	17.37	0.83	Neural Network (Specific Model)	11	0.875	2719	248.8078250863061	738832	0.4	869	236	9549	None
128	22.52	1.8	Neural Network (Specific Model)	11	0.889	5778	239.09084302325581	1106550	0.39	1376	227	16476	None
129	54.34	0.55	Neural Network (Specific Model)	11	0.849	10617	319.8154392191659	1271230	0.6	1127	141	29101	None
13	69.73	44.31	Neural Network (Specific Model)	11	0.888	13239	287.9876803371697	11969908	0.47	12338	1052	48650	None
