Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
1	99.98	0.99	Neural Network (Specific Model)	11	0.881	117785	318.5086523335081	2064630	0.41	1907	22	667799	None
103	93.22	101.61	Gradient Boost (General Model)	11	0.923	24025	286.532058094226	2623791	0.3	2823	242	147578	None
10311	44.41	9.84	Gradient Boost (General Model)	11	0.907	2845	262.54755205402364	1540890	0.59	1777	537	11416	None
1041	63.54	13.39	Gradient Boost (General Model)	11	0.878	15031	264.3993610223642	1969910	0.43	2191	216	98687	None
1046	98.6	108.45	Gradient Boost (General Model)	11	0.906	11703	289.43095308350547	6485691	0.34	6778	804	48456	None
1077	9.75	0.23	Neural Network (Specific Model)	11	0.913	18197	343.1492957746479	399001	0.42	355	34	42017	None
1084	13.46	1.39	Neural Network (Specific Model)	11	0.883	12169	272.978231292517	680041	0.35	735	70	32937	None
109805	8.51	1.02	Neural Network (Specific Model)	11	0.905	3477	295.22222222222223	360381	0.49	369	103	11666	None
11008	36.12	5.76	Neural Network (Specific Model)	11	0.893	3423	255.94709453599307	989391	0.62	1153	294	10918	None
114238	7.97	0.96	Neural Network (Specific Model)	11	0.84	14344	253.92894736842106	343823	0.42	380	50	40209	None
114242	34.85	10.36	Gradient Boost (General Model)	11	0.911	9702	285.6070666350486	3952897	0.42	4217	633	79044	None
114287	13.64	2.13	Neural Network (Specific Model)	11	0.882	7531	251.03406593406592	773627	0.38	910	129	126985	None
114292	0.0	8.86	Neural Network (Specific Model)	11	0.891	30869	345.7950937950938	1609171	0.46	1386	104	94780	None
114304	11.01	0.92	Neural Network (Specific Model)	11	0.861	45517	235.82569974554707	643369	0.4	786	39	98230	None
114308	50.51	1.19	Neural Network (Specific Model)	11	0.872	33176	348.5394277739009	1716313	0.44	1433	72	93820	None
114313	13.07	1.22	Neural Network (Specific Model)	11	0.796	6181	205.77391304347827	711586	0.33	920	139	30684	None
114333	8.08	0.35	Neural Network (Specific Model)	11	0.901	8089	257.0693277310924	405772	0.39	476	63	77885	None
114335	15.8	11.66	Neural Network (Specific Model)	11	0.858	13748	280.49039780521264	1426728	0.47	1458	172	76854	None
114346	50.74	0.0	Neural Network (Specific Model)	11	0.891	35764	333.124132613724	1452294	0.49	1297	58	69862	None
114349	10.42	0.1	Neural Network (Specific Model)	11	0.893	4906	250.50454545454545	553799	0.44	660	115	58111	None
114357	24.31	0.13	Neural Network (Specific Model)	11	0.877	17941	318.09722222222223	782283	0.49	720	58	44281	None
114363	33.32	0.02	Neural Network (Specific Model)	11	0.892	29062	329.70683229813665	891435	0.5	805	38	61745	None
114381	7.99	0.12	Neural Network (Specific Model)	11	0.845	18074	253.21980676328502	370886	0.5	414	31	57622	None
114385	18.69	2.77	Neural Network (Specific Model)	11	0.869	39055	306.98839907192576	455532	0.47	431	21	83145	None
114391	8.26	0.11	Neural Network (Specific Model)	11	0.87	11365	252.21037463976944	300882	0.54	347	39	54926	None
114408	14.15	1.62	Neural Network (Specific Model)	11	0.907	10418	281.1608300907912	713987	0.4	771	95	51942	None
114423	5.2	0.0	Neural Network (Specific Model)	11	0.834	21294	233.51481481481483	226077	0.42	270	22	27309	None
114434	25.45	12.08	Neural Network (Specific Model)	11	0.909	14497	320.26229508196724	836387	0.51	793	74	46974	None
114435	28.54	0.04	Neural Network (Specific Model)	11	0.885	9414	328.8476821192053	841081	0.61	755	105	46822	None
114460	18.38	11.45	Neural Network (Specific Model)	11	0.879	13010	318.3256972111554	1088430	0.43	1004	114	31155	None
114463	7.66	2.5	Neural Network (Specific Model)	11	0.906	19259	364.8130841121495	258377	0.51	214	16	43204	None
114467	8.4	0.13	Neural Network (Specific Model)	11	0.884	9254	234.150390625	405635	0.35	512	62	26258	None
114470	5.51	0.0	Neural Network (Specific Model)	11	0.889	21582	263.734693877551	217058	0.45	245	15	49025	None
114475	9.35	0.13	Neural Network (Specific Model)	11	0.878	30426	266.6221662468514	360487	0.39	397	32	71802	None
114478	18.47	0.92	Neural Network (Specific Model)	11	0.902	5971	258.911131059246	955861	0.38	1114	178	42410	None
114489	8.39	1.25	Neural Network (Specific Model)	11	0.867	15866	251.3524416135881	407394	0.5	471	44	25960	None
114503	69.57	4.84	Neural Network (Specific Model)	11	0.875	6717	278.7827050997783	1722211	0.59	1804	311	40967	None
114504	4.69	0.0	Neural Network (Specific Model)	11	0.863	15356	274.3456221198157	206338	0.42	217	23	40932	None
114571	0.04	24.53	Neural Network (Specific Model)	11	0.87	10841	182.4245810055866	337552	0.46	537	35	25021	None
114575	55.07	2.83	Neural Network (Specific Model)	11	0.885	6847	283.6692254012561	1376608	0.59	1433	238	37568	None
114590	14.76	0.21	Neural Network (Specific Model)	11	0.886	5057	246.71879936808847	527473	0.36	633	108	33629	None
114592	6.44	0.14	Neural Network (Specific Model)	11	0.871	17170	316.9078014184397	307192	0.42	282	29	36701	None
114601	6.78	4.45	Neural Network (Specific Model)	11	0.871	9961	314.38013698630135	315763	0.49	292	36	33041	None
114603	7.67	0.01	Neural Network (Specific Model)	11	0.907	6412	270.0920716112532	348349	0.36	391	68	36054	None
114604	5.96	2.02	Neural Network (Specific Model)	11	0.92	8485	348.8641304347826	209061	0.43	184	27	36054	None
114607	84.26	15.88	Gradient Boost (General Model)	11	0.857	11301	326.09740634005766	1977293	0.56	1735	232	27307	None
114652	18.34	0.18	Neural Network (Specific Model)	11	0.895	24860	329.725321888412	514237	0.5	466	26	34508	None
114669	24.23	4.06	Neural Network (Specific Model)	11	0.92	8539	322.85869565217394	773091	0.41	736	109	34059	None
114677	75.57	1.56	Neural Network (Specific Model)	11	0.863	7540	325.4036388140162	1676070	0.57	1484	251	33724	None
114717	9.18	0.06	Neural Network (Specific Model)	11	0.876	5204	239.48473282442748	428380	0.37	524	91	32574	None
114724	16.67	0.93	Neural Network (Specific Model)	11	0.906	5741	285.72998430141286	600052	0.42	637	131	32352	None
114756	6.61	0.34	Neural Network (Specific Model)	11	0.905	11336	356.1843137254902	300460	0.48	255	39	24738	None
114791	68.73	5.46	Neural Network (Specific Model)	11	0.869	8727	332.0365934797073	1719846	0.57	1503	242	30499	None
114795	68.24	0.14	Neural Network (Specific Model)	11	0.862	9718	328.0476539589443	1555728	0.57	1364	209	30356	None
114843	55.79	0.41	Neural Network (Specific Model)	11	0.864	10875	346.84160139251526	1382270	0.57	1149	153	27298	None
114950	57.19	10.87	Gradient Boost (General Model)	11	0.897	5792	323.465034965035	1235038	0.58	1144	237	26535	None
114963	22.04	0.7	Neural Network (Specific Model)	11	0.886	11691	338.1914893617021	483627	0.57	423	49	26332	None
114966	10.08	0.0	Neural Network (Specific Model)	11	0.917	14376	352.8318965517241	267193	0.41	232	20	26249	None
114987	7.42	4.17	Neural Network (Specific Model)	11	0.915	18332	351.49171270718233	208352	0.51	181	17	25879	None
115011	13.8	10.58	Neural Network (Specific Model)	11	0.871	10269	331.28512396694214	276035	0.44	242	29	25468	None
115073	6.11	0.02	Neural Network (Specific Model)	11	0.851	3517	195.24358974358975	213620	0.41	312	60	9704	None
115075	3.94	0.08	Neural Network (Specific Model)	11	0.825	8767	266.27314814814815	208309	0.52	216	33	24340	None
1151	95.94	14.89	Gradient Boost (General Model)	11	0.885	9751	333.95597014925374	3029130	0.58	2680	471	40313	None
115151	7.5	0.02	Neural Network (Specific Model)	11	0.884	4793	264.5050847457627	264085	0.33	295	62	23171	None
115155	31.77	0.35	Neural Network (Specific Model)	11	0.859	8543	313.3398328690808	784768	0.57	718	113	23130	None
115339	3.53	2.52	Neural Network (Specific Model)	11	0.87	10778	343.19354838709677	292935	0.55	248	36	20848	None
115365	17.52	4.42	Neural Network (Specific Model)	11	0.848	10220	318.286432160804	447457	0.55	398	57	20596	None
115398	22.78	1.19	Neural Network (Specific Model)	11	0.895	6248	345.8273381294964	643558	0.58	556	117	20199	None
115410	11.14	0.1	Neural Network (Specific Model)	11	0.914	5269	308.13553113553115	275777	0.41	273	57	20082	None
115479	6.02	0.05	Neural Network (Specific Model)	11	0.844	4568	256.59215686274507	231808	0.38	255	56	19162	None
115582	7.07	0.0	Neural Network (Specific Model)	11	0.893	3919	263.12983425414365	318480	0.36	362	77	18475	None
115605	19.88	0.06	Neural Network (Specific Model)	11	0.856	4735	277.4062968515742	647845	0.56	667	150	14327	None
