Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
10	87.84	24.12	Gradient Boost (General Model)	11	0.892	2500	241.13251503006012	3228350	0.42	3992	1211	6349	None
101	14.01	0.64	Neural Network (Specific Model)	11	0.883	2500	248.9777777777778	760276	0.42	900	275	6653	None
102	68.13	26.95	Neural Network (Specific Model)	11	0.895	12639	306.1186200378072	2167299	0.49	2116	188	42218	None
103	49.05	0.9	Neural Network (Specific Model)	11	0.892	11812	291.6149927219796	1345944	0.44	1374	142	43901	None
104	14.17	0.05	Neural Network (Specific Model)	11	0.894	2905	268.1726519337017	649709	0.49	724	212	6929	None
1047	7.28	0.48	Neural Network (Specific Model)	11	0.864	20585	258.3768115942029	307999	0.44	345	17	32196	None
106	50.09	1.71	Neural Network (Specific Model)	11	0.897	11819	278.55700836820085	1776160	0.31	1912	182	31265	None
108	33.74	13.51	Neural Network (Specific Model)	11	0.886	3372	239.18036529680364	707888	0.4	876	209	9475	None
109	14.05	1.96	Neural Network (Specific Model)	11	0.888	2986	238.32781456953643	727047	0.51	906	230	8414	None
110	73.83	0.09	Gradient Boost (General Model)	11	0.89	8920	291.7958883994126	1337209	0.48	1362	172	28705	None
113	32.72	4.98	Neural Network (Specific Model)	11	0.886	11302	314.735659373152	1797773	0.42	1691	165	22787	None
114	43.6	3.12	Neural Network (Specific Model)	11	0.857	9615	276.237881508079	1075472	0.6	1114	155	29742	None
115	59.77	6.26	Gradient Boost (General Model)	11	0.925	13236	299.79558728098635	1495790	0.37	1541	137	31985	None
116	69.46	0.36	Neural Network (Specific Model)	11	0.878	10331	300.85568413887	1506565	0.54	1469	168	46008	None
12	71.57	66.28	Gradient Boost (General Model)	11	0.899	4284	289.22359825802937	7076838	0.45	7348	1775	17561	None
122	12.02	0.98	Neural Network (Specific Model)	11	0.845	2500	242.70904645476773	703140	0.41	818	237	6752	None
123	15.41	1.33	Neural Network (Specific Model)	11	0.826	2500	210.01878453038674	688343	0.42	905	235	7724	None
1231	10.5	0.22	Neural Network (Specific Model)	11	0.9	27794	288.9209621993127	279795	0.32	291	11	34595	None
124	17.37	0.83	Neural Network (Specific Model)	11	0.874	2719	249.50923787528868	738832	0.4	866	236	9549	None
128	22.52	1.8	Neural Network (Specific Model)	11	0.889	5778	239.44687045123726	1106550	0.39	1374	227	16476	None
129	54.34	0.55	Neural Network (Specific Model)	11	0.849	10617	319.49468085106383	1271230	0.6	1128	141	29101	None
13	69.73	44.31	Neural Network (Specific Model)	11	0.888	13239	287.94927066450566	11969908	0.47	12340	1052	48650	None
131	28.43	4.21	Neural Network (Specific Model)	11	0.871	8136	243.91374513077352	1503996	0.36	1797	223	24683	None
132	61.56	1.25	Gradient Boost (General Model)	11	0.879	10066	296.3830141548709	1213495	0.41	1201	139	25851	None
133	11.24	0.1	Neural Network (Specific Model)	11	0.914	2500	261.3486842105263	390693	0.64	456	153	3476	None
136	51.05	3.42	Neural Network (Specific Model)	11	0.883	10565	315.31611208406304	1221209	0.42	1142	154	36676	None
138	18.33	1.11	Neural Network (Specific Model)	11	0.895	2500	251.8208661417323	427423	0.39	508	150	6169	None
14	92.4	72.99	Neural Network (Specific Model)	11	0.873	11005	303.3333655145781	10772157	0.48	10358	1082	35366	None
141	72.13	33.15	Neural Network (Specific Model)	11	0.906	15967	291.0499001996008	1928712	0.31	2004	135	44460	None
142	60.27	0.72	Gradient Boost (General Model)	11	0.916	9587	286.37931034482756	1139620	0.34	1218	137	24132	None
143	16.77	5.23	Neural Network (Specific Model)	11	0.894	4368	305.8466413181242	808485	0.44	789	206	13495	None
144	11.25	0.12	Neural Network (Specific Model)	11	0.905	2715	262.2464454976303	366114	0.51	422	122	6126	None
145	53.25	0.18	Neural Network (Specific Model)	11	0.878	11028	290.3499653499654	1428927	0.56	1443	146	35334	None
147	10.79	0.56	Neural Network (Specific Model)	11	0.934	2500	291.8566721581549	568122	0.44	607	201	10902	None
149	48.83	0.65	Neural Network (Specific Model)	11	0.893	12243	289.6	1464749	0.46	1510	136	30195	None
15	85.57	82.96	Neural Network (Specific Model)	11	0.849	10661	269.5305676855895	9135995	0.44	9618	967	46596	None
150	10.92	3.6	Neural Network (Specific Model)	11	0.871	9090	248.60880609652835	1005186	0.49	1181	120	21989	None
151	11.74	1.19	Neural Network (Specific Model)	11	0.86	3013	258.80044843049325	401979	0.63	446	132	5690	None
152	23.66	5.23	Neural Network (Specific Model)	11	0.9	2500	251.08856088560884	452556	0.44	542	166	6972	None
156	11.22	0.39	Neural Network (Specific Model)	11	0.883	2958	265.9219440353461	612197	0.38	679	192	9149	None
157	10.84	1.44	Neural Network (Specific Model)	11	0.911	2689	297.881239242685	569326	0.44	581	186	7927	None
158	11.83	0.25	Neural Network (Specific Model)	11	0.851	4114	259.87280108254396	675806	0.57	739	182	12238	None
